epoch,loss
171,0.103457
172,0.103453
173,0.103427
174,0.103438
175,0.10344
176,0.100761
177,0.10064
178,0.100584
179,0.100553
180,0.100533
181,0.10052
182,0.100511
183,0.100504
184,0.100499
185,0.100495
186,0.100492
187,0.100489
188,0.100487
189,0.100485
190,0.100483
191,0.100482
192,0.100481
193,0.10048
194,0.100479
195,0.100478
196,0.100477
197,0.100477
198,0.100476
199,0.100476
200,0.100475
201,0.100475
202,0.100474
203,0.100474
204,0.100473
205,0.100473
206,0.100473
207,0.100472
208,0.100472
209,0.100472
210,0.100472
211,0.100472
212,0.100471
213,0.100471
214,0.100471
215,0.100471
216,0.100471
217,0.10047
218,0.10047
219,0.10047
220,0.10047
221,0.10047
222,0.10047
223,0.10047
224,0.10047
225,0.100469
226,0.100469
227,0.100469
228,0.100469
229,0.100469
230,0.100469
231,0.100469
232,0.100469
233,0.100469
234,0.100469
235,0.100469
236,0.100469
237,0.100469
238,0.100468
239,0.100468
240,0.100468
241,0.100468
242,0.100468
243,0.100468
244,0.100468
245,0.100468
246,0.100468
247,0.100468
248,0.100468
249,0.100468
250,0.100468
251,0.100468
252,0.100468
253,0.100468
254,0.100468
255,0.100468
256,0.100468
257,0.100468
258,0.100468
259,0.100468
260,0.100468
261,0.100467
262,0.100467
263,0.100467
264,0.100467
265,0.100467
266,0.100467
267,0.100467
268,0.100467
269,0.100467
270,0.100467
271,0.100467
272,0.100467
273,0.100467
274,0.100467
275,0.100467
276,0.100467
277,0.100467
278,0.100467
279,0.100467
280,0.2014
281,0.168441
282,0.168681
283,0.17474
284,0.174432
285,0.170502
286,0.167783
287,0.172052
288,0.17239
289,0.168139
290,0.16866
291,0.168149
292,0.168066
293,0.167994
294,0.167991
295,0.167947
296,0.167915
297,0.167912
298,0.167875
299,0.167918
300,0.167846
301,0.16783
302,0.167885
303,0.167804
304,0.167861
305,0.167783
306,0.167759
307,0.167801
308,0.167746
309,0.167792
310,0.167771
311,0.167766
312,0.167713
313,0.167753
314,0.167752
315,0.16772
316,0.167721
317,0.167701
318,0.167707
319,0.167708
320,0.167682
321,0.167687
322,0.167669
323,0.167673
324,0.167663
325,0.167673
326,0.167675
327,0.167647
328,0.167648
329,0.167634
330,0.167639
331,0.16763
332,0.167634
333,0.167648
334,0.167633
335,0.167638
336,0.167609
337,0.167607
338,0.167623
339,0.167602
340,0.167597
341,0.167632
342,0.167598
343,0.167625
344,0.167605
345,0.167587
346,0.167602
347,0.167573
348,0.167591
349,0.167549
350,0.167578
351,0.167586
352,0.167587
353,0.167587
354,0.167569
355,0.167548
356,0.167448
357,0.167262
358,0.164845
359,0.164801
360,0.164776
361,0.164761
362,0.164751
363,0.164743
364,0.164738
365,0.164734
366,0.164731
367,0.164728
368,0.164726
369,0.164724
370,0.164722
371,0.164721
372,0.16472
373,0.164719
374,0.164718
375,0.164717
376,0.164717
377,0.164716
378,0.164716
379,0.164715
380,0.164715
381,0.164714
382,0.164714
383,0.164713
384,0.164713
385,0.164713
386,0.164713
387,0.164712
388,0.164712
389,0.164712
390,0.164712
391,0.164711
392,0.164711
393,0.164711
394,0.164711
395,0.164711
396,0.164711
397,0.16471
398,0.16471
399,0.16471
400,0.16471
401,0.16471
402,0.16471
403,0.16471
404,0.16471
405,0.16471
406,0.164709
407,0.164709
408,0.164709
409,0.164709
410,0.164709
411,0.164709
412,0.164709
413,0.164709
414,0.164709
415,0.164709
416,0.164709
417,0.164709
418,0.164709
419,0.164709
420,0.164709
421,0.164709
422,0.164708
423,0.164708
424,0.164708
425,0.164708
426,0.164708
427,0.164708
428,0.164708
429,0.164708
430,0.164708
431,0.164708
432,0.164708
433,0.164708
434,0.164708
435,0.164708
436,0.164708
437,0.164708
438,0.164708
439,0.164708
440,0.164708
441,0.164708
442,0.164708
443,0.164708
444,0.164708
445,0.164708
446,0.164708
447,0.164708
448,0.164708
449,0.164708
450,0.164708
451,0.164708
452,0.164708
453,0.164708
454,0.164708
455,0.164707
456,0.164707
457,0.164707
458,0.164707
459,0.164707
460,0.164707
461,0.164707
462,0.164707
463,0.164707
464,0.164707
465,0.164707
466,0.164707
467,0.164707
468,0.164707
469,0.164707
470,0.164707
471,0.164707
472,0.164707
473,0.164707
474,0.164707
475,0.164707
476,0.164707
477,0.164707
478,0.164707
479,0.164707
480,0.164707
481,0.164707
482,0.164707
483,0.164707
484,0.164707
485,0.164707
486,0.164707
487,0.164707
488,0.164707
489,0.164707
490,0.164707
491,0.164707
492,0.164707
493,0.164707
494,0.164707
495,0.164707
496,0.164707
497,0.164707
498,0.164707
499,0.164707
500,0.164707
501,0.164707
502,0.164707
503,0.164707
504,0.164707
505,0.164707
506,0.164707
507,0.164707
508,0.164707
509,0.164707
510,0.164707
511,0.164707
512,0.164707
513,0.164707
514,0.164707
515,0.164707
516,0.164707
517,0.164707
518,0.164707
519,0.164707
520,0.164707
521,0.164707
522,0.164707
523,0.164707
524,0.164707
525,0.164707
526,0.164707
527,0.164707
528,0.164707
529,0.164707
530,0.164707
531,0.164707
532,0.164707
533,0.164707
534,0.164707
535,0.164707
536,0.164707
537,0.164707
538,0.164707
539,0.164707
540,0.164707
541,0.164707
542,0.164707
543,0.164707
544,0.164707
545,0.164707
546,0.164707
547,0.164707
548,0.164707
549,0.164707
550,0.164707
551,0.164707
552,0.164707
553,0.164707
554,0.164707
555,0.164707
556,0.164707
557,0.164707
558,0.164707
559,0.164707
560,0.164707
561,0.164707
562,0.164707
563,0.164707
564,0.164707
565,0.164707
566,0.164707
567,0.164707
568,0.164707
569,0.164707
570,0.164707
571,0.164707
572,0.164707
573,0.164707
574,0.164707
575,0.164707
576,0.164707
577,0.164707
578,0.164707
579,0.164707
580,0.164707
581,0.164707
582,0.164707
583,0.164707
584,0.164707
585,0.164706
586,0.164706
587,0.164706
588,0.164706
589,0.164706
590,0.164706
591,0.164706
592,0.164706
593,0.164706
594,0.164706
595,0.164706
596,0.164706
597,0.164706
598,0.164706
599,0.164706
600,0.164706
601,0.164706
602,0.164706
603,0.164706
604,0.164706
605,0.164706
606,0.164706
607,0.164706
608,0.164706
609,0.164706
610,0.164706
611,0.164706
612,0.164706
613,0.164706
614,0.164706
615,0.164706
616,0.164706
617,0.164706
618,0.164706
619,0.164706
620,0.164706
621,0.164706
622,0.164706
623,0.164706
624,0.164706
625,0.164706
626,0.164706
627,0.164706
628,0.164706
629,0.164706
630,0.164706
631,0.164706
632,0.164706
633,0.164706
634,0.164706
635,0.164706
636,0.164706
637,0.164706
638,0.164706
639,0.164706
640,0.164706
641,0.164706
642,0.164706
643,0.164706
644,0.164706
645,0.164706
646,0.164706
647,0.164706
648,0.164706
649,0.164706
650,0.164706
651,0.164706
652,0.164706
653,0.164706
654,0.164706
655,0.164706
656,0.164706
657,0.164706
658,0.164706
659,0.164706
660,0.164706
661,0.164706
662,0.164706
663,0.164706
664,0.164706
665,0.164706
666,0.164706
667,0.164706
668,0.164706
669,0.164706
670,0.164706
671,0.164706
672,0.164706
673,0.164706
674,0.164706
675,0.164706
676,0.164706
677,0.164706
678,0.164706
679,0.164706
680,0.164706
681,0.164706
682,0.164706
683,0.164706
684,0.164706
685,0.164706
686,0.164706
687,0.164706
688,0.164706
689,0.164706
690,0.164706
691,0.164706
692,0.164706
693,0.164706
694,0.164706
695,0.164706
696,0.164706
697,0.164706
698,0.164706
699,0.164706
700,0.164706
701,0.164706
702,0.164706
703,0.164706
704,0.164706
705,0.164706
706,0.164706
707,0.164706
708,0.164706
709,0.164706
710,0.164706
711,0.164706
712,0.164706
713,0.164706
714,0.164706
715,0.164706
716,0.164706
717,0.164706
718,0.164706
719,0.164706
720,0.164706
721,0.164706
722,0.164706
723,0.164706
724,0.164706
725,0.164706
726,0.164706
727,0.164706
728,0.164706
729,0.164706
730,0.164706
731,0.164706
732,0.164706
733,0.164706
734,0.164706
735,0.164706
736,0.164706
737,0.164706
738,0.164706
739,0.164706
740,0.164706
741,0.164706
742,0.164706
743,0.164706
744,0.164706
745,0.164706
746,0.164706
747,0.164706
748,0.164706
749,0.164706
750,0.164706
751,0.164706
752,0.164706
753,0.164706
754,0.164706
755,0.164706
756,0.164706
757,0.164706
758,0.164706
759,0.164706
760,0.164706
761,0.164706
762,0.164706
763,0.164706
764,0.164706
765,0.164706
766,0.164706
767,0.164706
768,0.164706
769,0.164706
770,0.164706
771,0.164706
772,0.164706
773,0.164706
774,0.164706
775,0.164706
776,0.164706
777,0.164706
778,0.164706
779,0.164706
780,0.164706
781,0.164706
782,0.164706
783,0.164706
784,0.164706
785,0.164706
786,0.164706
787,0.164706
788,0.164706
789,0.164706
790,0.164706
791,0.164706
792,0.164706
793,0.164706
794,0.164706
795,0.164706
796,0.164706
797,0.164706
798,0.164706
799,0.164706
800,0.164706
801,0.164706
802,0.164706
803,0.164706
804,0.164706
805,0.164706
806,0.164706
807,0.164706
808,0.164706
809,0.164706
810,0.164706
811,0.164706
812,0.164706
813,0.164706
814,0.164706
815,0.164706
816,0.164706
817,0.164706
818,0.164706
819,0.164706
820,0.164706
821,0.164706
822,0.164706
823,0.164706
824,0.164706
825,0.164706
826,0.164706
827,0.164706
828,0.164706
829,0.164706
830,0.164706
831,0.164706
832,0.164706
833,0.164706
834,0.164706
835,0.164706
836,0.164706
837,0.164706
838,0.164706
839,0.164706
840,0.164706
841,0.164706
842,0.164706
843,0.164706
844,0.164706
845,0.164706
846,0.164706
847,0.164706
848,0.164706
849,0.164706
850,0.164706
851,0.164706
852,0.164706
853,0.164706
854,0.164706
855,0.164706
856,0.164706
857,0.164706
858,0.164706
859,0.164706
860,0.164706
861,0.164706
862,0.164706
863,0.164706
864,0.164706
865,0.164706
866,0.164706
867,0.164706
868,0.164706
869,0.164706
870,0.164706
871,0.164706
872,0.164706
873,0.164706
874,0.164706
875,0.164706
876,0.164706
877,0.164706
878,0.164706
879,0.164706
880,0.164706
881,0.164706
882,0.164706
883,0.164706
884,0.164706
885,0.164706
886,0.164706
887,0.164706
888,0.164706
889,0.164706
890,0.164706
891,0.164706
892,0.164706
893,0.164706
894,0.164706
895,0.164706
896,0.164706
897,0.164706
898,0.164706
899,0.164706
900,0.164706
901,0.164706
902,0.164706
903,0.164706
904,0.164706
905,0.164706
906,0.164706
907,0.164706
908,0.164706
909,0.164706
910,0.164706
911,0.164706
912,0.164706
913,0.164706
914,0.164706
915,0.164706
916,0.164706
917,0.164706
918,0.164706
919,0.164706
920,0.164706
921,0.164706
922,0.164706
923,0.164706
924,0.164706
925,0.164706
926,0.164706
927,0.164706
928,0.164706
929,0.164706
930,0.164706
931,0.164706
932,0.164706
933,0.164706
934,0.164706
935,0.164706
936,0.164706
937,0.164706
938,0.164706
939,0.164706
940,0.164706
941,0.164706
942,0.164706
943,0.164706
944,0.164706
945,0.164706
946,0.164706
947,0.164706
948,0.164706
949,0.164706
950,0.164706
951,0.164706
952,0.164706
953,0.164706
954,0.164706
955,0.164706
956,0.164706
957,0.164706
958,0.164706
959,0.164706
960,0.164706
961,0.164706
962,0.164706
963,0.164706
964,0.164706
965,0.164706
966,0.164706
967,0.164706
968,0.164706
969,0.164706
970,0.164706
971,0.164706
972,0.164706
973,0.164706
974,0.164706
975,0.164706
976,0.164706
977,0.164706
978,0.164706
979,0.164706
980,0.164706
981,0.164706
982,0.164706
983,0.164706
984,0.164706
985,0.164706
986,0.164706
987,0.164706
988,0.164706
989,0.164706
990,0.164706
991,0.164706
992,0.164706
993,0.164706
994,0.164706
995,0.164706
996,0.164706
997,0.164706
998,0.164706
999,0.164706
1000,0.164706
