epoch,loss
1,0.249999
2,0.231203
3,0.168726
4,0.172586
5,0.181809
6,0.14859
7,0.105618
8,0.103529
9,0.103883
10,0.103319
11,0.103572
12,0.102509
13,0.101922
14,0.101545
15,0.101089
16,0.100736
17,0.100311
18,0.100156
19,0.0998347
20,0.0995058
21,0.0996479
22,0.0997941
23,0.0987386
24,0.0993447
25,0.0991034
26,0.099041
27,0.0980476
28,0.0980651
29,0.1019
30,0.101029
31,0.100615
32,0.100425
33,0.100296
34,0.100194
35,0.10012
36,0.100051
37,0.102232
38,0.0999303
39,0.0998754
40,0.0998286
41,0.0997754
42,0.0997309
43,0.099689
44,0.0996505
45,0.0996146
46,0.162351
47,0.162128
48,0.162051
49,0.161991
50,0.16194
51,0.161903
52,0.161873
53,0.161845
54,0.16182
55,0.16179
56,0.161761
57,0.161747
58,0.161736
59,0.161694
60,0.16168
61,0.161658
62,0.161642
63,0.161621
64,0.161611
65,0.161593
66,0.161572
67,0.161557
68,0.161538
69,0.161524
70,0.161519
71,0.161495
72,0.16148
73,0.161465
74,0.161453
75,0.199069
76,0.161461
77,0.161456
78,0.161423
79,0.161407
80,0.161404
81,0.161382
82,0.161372
83,0.161362
84,0.161351
85,0.161351
86,0.161333
87,0.163182
88,0.161378
89,0.16135
90,0.16133
91,0.161304
92,0.161293
93,0.161282
94,0.161272
95,0.161262
96,0.161252
97,0.161243
98,0.161233
99,0.161224
100,0.161217
101,0.136703
102,0.104385
103,0.10413
104,0.104058
105,0.104033
106,0.10402
107,0.103981
108,0.103955
109,0.10394
110,0.103924
111,0.103951
112,0.103896
113,0.103883
114,0.103866
115,0.103853
116,0.103841
117,0.103829
118,0.103817
119,0.103806
120,0.103794
121,0.10379
122,0.103785
123,0.103772
124,0.10376
125,0.103751
126,0.103745
127,0.103733
128,0.10375
129,0.103717
130,0.103707
131,0.103697
132,0.103682
133,0.103682
134,0.103675
135,0.10366
136,0.103652
137,0.103648
138,0.103637
139,0.14644
140,0.103777
141,0.10371
142,0.103682
143,0.103696
144,0.103653
145,0.103603
146,0.103601
147,0.103592
148,0.103585
149,0.103569
150,0.103563
151,0.103556
152,0.103577
153,0.103541
154,0.103564
155,0.103554
156,0.103521
157,0.103537
158,0.103515
159,0.10353
160,0.103508
161,0.103501
162,0.103501
163,0.103496
164,0.103487
165,0.103485
166,0.10347
167,0.103471
168,0.103479
169,0.103457
170,0.103451
